ID_Review,Platform,Wilayah,Nama_Hotel,Review_Date,Text_Review,label_Kamar,label_Kebersihan,label_Pelayanan,label_Harga,label_Lokasi,label_Fasilitas,label_Makanan,error
41,Traveloka,Bandung,Atlantic City Hotel,6/7/2025,"Tempatnya bagus dan di tengah kota, pelayanannya bagus. Tapi kamarnya tidak kedap suara, saat tetangga mandi dengan pancuran, suara showernya terdengar. Masalah lain yang kurang bagus adalah bantalnya. Bantalnya yang berwarna biru tidak diganti, karena baunya sangat menyengat karena keringat.",Negatif,Negatif,Positif,None,Positif,None,None,
42,Traveloka,Bandung,Atlantic City Hotel,5/24/2025,"Hotel ditengah kota deket kmna mana pokoknya, pelayanan nya terbaik banget permintaan pengering rambut staf yang mengantarnya ramah sekali dan dibantu akses ke kamar juga pas kunci ketinggalan padahal mas nya terlihat sibuk, benar2 memprioritaskan tamu gercep, sangat menghargai to mas Argian. Kamar wanginya suka banget terbaik pokoknya",Positif,None,Positif,None,Positif,None,None,
43,Traveloka,Bandung,Atlantic City Hotel,5/24/2025,"di kamar nya banyak kecoa, kamar AC nya berbunyi keras bikin tidur kurang nyenyak",Negatif,Negatif,None,None,None,None,None,
44,Traveloka,Bandung,Atlantic City Hotel,5/24/2025,"Tengah malam pesan GrabFood minta tolong dianterin ke kamar, terus langsung dianter detik itu juga baik banget stafnya. Kamar tidur dan kamar mandi bersih banget, sprei handuk enggak ada yang kuning atau noda, bener-bener semuanya baru bersih. Kamar juga wangi, tidak bau debu atau rokok. furnitur baru semua, enggak ngasal kaya hotel anggaran lainnya. Lorong jalan menuju kamar luas dan bersih terang benderang. Jarang banget nemu hotel 300-an di Bandung tapi bener-bener yang oke. pasti bakalan menginap di sini lagi kalau ke Bandung!",Positif,Positif,Positif,Positif,None,None,None,
45,Traveloka,Bandung,Atlantic City Hotel,5/10/2025,"hotel bersih, staf ramah dan baik",None,Positif,Positif,None,None,None,None,
46,Traveloka,Bandung,Atlantic City Hotel,5/10/2025,hotel sangat nyaman dan lokasi strategis,None,None,None,None,Positif,None,None,
47,Traveloka,Bandung,Atlantic City Hotel,5/10/2025,"bersih banget kamarnya. untuk harganya sangat sepadan. Parkir di basement, waktu saya menginap pas long weekend, jadi parkir penuh tapi jangan khawatir ada free vallet.",None,Positif,None,Positif,None,Positif,None,
48,Traveloka,Bandung,Atlantic City Hotel,5/10/2025,"pemandangan bagus, kamar bersih, AC dingin",Positif,Positif,None,None,None,None,None,
49,Traveloka,Bandung,Atlantic City Hotel,4/12/2025,hotel strategis ditengah kota..kamar bersih pelayanan sangat ramah,None,Positif,Positif,None,Positif,None,None,
50,Traveloka,Bandung,Atlantic City Hotel,4/12/2025,"staf hotel ramah, petugas kebersihan juga sangat ramah.",None,None,Positif,None,None,None,None,
51,Traveloka,Bandung,Atlantic City Hotel,4/12/2025,Mantappp harga ekonomis ga kaleng kaleng,None,None,None,Positif,None,None,None,
52,Traveloka,Bandung,Atlantic City Hotel,4/5/2025,"staf hotel sangat ramah, makanannya pun enak..",None,None,Positif,None,None,None,Positif,
53,Traveloka,Bandung,Atlantic City Hotel,4/5/2025,"hotelnya dekan dgn braga, asia afrika, dll",None,None,None,None,Positif,None,None,
54,Traveloka,Bandung,Atlantic City Hotel,3/15/2025,setiap transit bersama paksu pastinya kesini,None,None,None,None,None,None,None,
55,Traveloka,Bandung,Atlantic City Hotel,3/1/2025,"Jujur saya sudah beberapa kali menginap disini dan selalu puas.. tapi kali ini agak kurang sih, entah kenapa, mulai dari AC-nya agak rusak dan tidak bisa dinyalakan (tapi tetap dingin), TV-nya perlu dibenahi, agak berderit, kayak TV jadul (lain kali saya ganti biar ada Netflix), dan kamar mandinya agak bau, gak tau kenapa, padahal bersih dan airnya lancar. + cuma kali ini dapat pengering rambut di kamar mandinya.",Negatif,Negatif,None,None,None,Positif,None,
56,Traveloka,Bandung,Atlantic City Hotel,2/22/2025,"Akses ke mal, gereja katolik, dan gate tol sangat dekat",None,None,None,None,Positif,None,None,
57,Traveloka,Bandung,Atlantic City Hotel,2/8/2025,staf sangat baik makanan bervariasii enak lengkap dekat dr mana mana seruu nyaman nextnyaa nginep sini lg deh,None,None,Positif,None,Positif,None,Positif,
58,Traveloka,Bandung,Atlantic City Hotel,2/1/2025,hotelnya nyaman dan menyenangkan ☺️,None,None,None,None,None,None,None,
59,Traveloka,Bandung,Atlantic City Hotel,2/1/2025,"Penyebabnya adalah karena ruangan tidak kedap suara, jendela tidak rapat, kunci/slot jendela tidak berfungsi. Harap perhatikan lagi kualitas suaranya.",Negatif,None,None,None,None,None,None,
60,Traveloka,Bandung,Atlantic City Hotel,1/25/2025,"Lokasi hotel dekat dengan kuliner Pasirkaliki, cukup nyaman, hanya saja space parkir yang terbatas. secara keseluruhan bagus.",None,None,None,None,Positif,Negatif,None,
61,Traveloka,Bandung,Atlantic City Hotel,1/11/2025,Makanan enak dan staf yang ramah,None,None,Positif,None,None,None,Positif,
62,Traveloka,Bandung,Atlantic City Hotel,1/4/2025,Recoment si untuk hrga segini kmr bersih dan ga bau apek,None,Positif,None,Positif,None,None,None,
63,Traveloka,Bandung,Atlantic City Hotel,12/28/2024,"Kamarnya enak banget, pas buat keluarga yang mau liburan 2/3 malam dan dekat banget sama pusat kota, ukurannya pas bangettt dan bersih, pokoknya ini oke banget deh",Positif,Positif,None,None,Positif,None,None,
64,Traveloka,Bandung,Atlantic City Hotel,12/28/2024,"Kekurangannya tidak ada penjaga pintu, jadi agak repot kalau bawa barang sambil buka pintu",None,None,Negatif,None,None,None,None,
65,Traveloka,Bandung,Atlantic City Hotel,9/14/2024,Akses mudah dari mana-mana. staf ramah. Hotel bersih. Di tengah kota dan harga murah,None,Positif,Positif,Positif,Positif,None,None,
66,Traveloka,Bandung,Atlantic City Hotel,8/24/2024,"Kalau ke bandung pasti menginap disini, karena di pusat kota, dekat dan mudah dijangkau.. apalagi di sekitar hotel ada KFC, Richeese, Starback, McD bahkan mal.. jadi jauh, nyaman walaupun di pinggir jalan, tidak terlalu bising kendaraan.. sepadan dengan harga. Saya pernah ke bandung dan menginap disini.",None,None,None,Positif,Positif,None,None,
67,Traveloka,Bandung,Atlantic City Hotel,7/20/2024,"staf hotel sangat ramah dan responsif. kamar dan bathroom bersih, ac dingin. Lokasi sangat strategis di tengah kota memudahkan mobilitas saya dan suami yang dalam perjalanan bisnis karena dekat ke pintu tol juga ke pusat kota",Positif,Positif,Positif,None,Positif,None,None,
68,Traveloka,Bandung,Atlantic City Hotel,7/13/2024,"Menurut aku, hotelnya nyaman banget, petugasnya ramah-ramah banget dari satpam, petugas parkir, admin dan lain-lain, sikap baik, harganya juga sangat sepadan dengan harga. Paling menu sarapannya saja banyakin lagi variannya 😝😜",None,None,Positif,Positif,None,None,Positif,
69,Traveloka,Bandung,Atlantic City Hotel,7/6/2024,"Staf hotel sangat ramah, kamar hotelnya luas, restorannya nyaman buat nongkrong, ada live music.",Positif,None,Positif,None,None,None,Positif,
70,Traveloka,Bandung,Atlantic City Hotel,6/22/2024,"Kamar mandinya kebanjiran, tempat tidurnya nyaman",Positif,Negatif,None,None,None,None,None,
71,Traveloka,Bandung,Atlantic City Hotel,6/15/2024,Sudah 2 kali menginap di sini. Dekat dengan tempat makan.,None,None,None,None,Positif,None,None,
72,Traveloka,Bandung,Atlantic City Hotel,4/20/2024,"Hotelnya bersih dan lokasi yang strategis, jadi nanti saya ke Bandung lagi akan menginap di sini lagi.",None,Positif,None,None,Positif,None,None,
73,Traveloka,Bandung,Atlantic City Hotel,4/13/2024,"Kamar nya bersih, paling suka untuk sprei, sarung bantal dan sellimut nya sangat bersih tidak ada noda. Penerangan kamar variatif lampunya, jadi bisa disesuaikan. Para staf dan satpam sangat ramah. Tersedia teko air, kopi dan teh. Sikat gigi, sandal, dan handuk dapat 2. Channel TV banyak, hanya saja tidak terlalu jernih saluran nya. Untuk sarapan sedikit pilihan nya. Lokasi strategis, di sekitar banyak makanan seperti KFC, MCD, dan Richeese. Minusnya: Gelas dan Teko air kotor (berdebu & bau apek) Kamar tidak kedap suara, suara dari luar kamar sangat terdengar. Wastafel air nya sangat sangat kecil.",Negatif,Negatif,Positif,None,Positif,Negatif,Netral,
74,Traveloka,Bandung,Atlantic City Hotel,4/6/2024,"Bersih, nyaman, murah, lokasi strategis banget, dekat ke bandara/stasiun. Ke mal, ke restoran. Kamarnya bersih wangi juga.",Positif,Positif,None,Positif,Positif,None,None,
75,Traveloka,Bandung,Atlantic City Hotel,3/9/2024,"Setiap mampir ke Bandung selalu menginap di Atlantic City, lokasinya di pusat kota sehingga mudah ke mana-mana, kamarnya nyaman, bersih dan luas sesuai dengan harapan kami, pelayanan para stafnya (Mbak Eksa dan Mbak Nurul) yang ramah dan selalu sigap banyak membantu untuk informasi kamar dan waktu menginap.",Positif,None,Positif,None,Positif,None,None,
76,Traveloka,Bandung,Atlantic City Hotel,12/16/2023,"Hotel yang bagus, makanannya nikmat. Bisa istirahat cukup. Harga sebanding kualitas.",Positif,None,None,Positif,None,None,Positif,
77,Traveloka,Bandung,Atlantic City Hotel,12/16/2023,"Bersih dan lokasi bagus, hanya parkiran saja yang kurang luas tapi petugas keamanannya nya sangat baik dan membantu sekali, makanan ga coba sih. Tapi secara keseluruhan oke, mungkin akan kembali lagi nanti",None,Positif,Positif,None,Positif,Negatif,None,
78,Traveloka,Bandung,Atlantic City Hotel,12/2/2023,"Hotelnya bersih dan nyaman, direkomendasikan.",Positif,Positif,None,None,None,None,None,
79,Traveloka,Bandung,Atlantic City Hotel,11/18/2023,Seneng. Bisa kuliner deket-deket sini. Jalan kaki 300meter ke GOR bisa kuliner pagi hari. Kalo ke kiri ada Warung Cepot dan aneka kuliner top.,None,None,None,None,Positif,None,None,
80,Traveloka,Bandung,Atlantic City Hotel,11/18/2023,Hotel pusat kota terbaik sejauh ini. Anda pasti akan menyukai pemandangannya.,Positif,None,None,None,Positif,None,None,
81,Traveloka,Bandung,Atlantic City Hotel,11/18/2023,"Ke Bandung pasti nginep di sini, kamar bersih, staf ramah ramah, makasih ya.",None,Positif,Positif,None,None,None,None,
82,Traveloka,Bandung,Atlantic City Hotel,11/18/2023,"Betah banget di sini, ada rooftop buat ngopi ngopi, kamar bersih, stafnya ramah ramah, makasih ya.",None,Positif,Positif,None,None,Positif,None,
83,Traveloka,Bandung,Atlantic City Hotel,10/28/2023,"sejauh ini bagus. Sarapannya lumayan, tapi kurang bervariasi untuk desert nya. Hehehehe. Pelayanan ramah. Kamar ga ada masalah. Cuma aku dateng kecepetan jadi tempat tidur tambahan belum dipasang. Ada live music nya kalau malam minggu, pas buat nongkrong anak muda.",Positif,None,Positif,None,None,Positif,Netral,
84,Traveloka,Bandung,Atlantic City Hotel,9/30/2023,"Gambar kamar sesuai dengan aslinya, sarapan lumayan.",None,None,None,None,None,None,Netral,
85,Traveloka,Bandung,Atlantic City Hotel,9/30/2023,"lumayan baik sih, cuma kamar mandi airnya ngga mau turun. Jadi sellu basah di area keringnya. Lainnya sih oke.",None,Negatif,None,None,None,None,None,
86,Traveloka,Bandung,Atlantic City Hotel,9/23/2023,"Di dalam kamar semuanya lengkap kecuali pengerng rambut, saya nginap di lantai 6 biar ga berisik kamarnya menghadap gran Pasifik hotel dan kamarnya kamar merokok berikut berikut jendelanya bisa di buka kalo sarapannya sih kalo rasa masih bintang 3 sesuai dengan level bintangnya. Di luar semuanya itu sudah sangat baik.",Positif,Positif,None,None,Positif,None,Positif,
87,Traveloka,Bandung,Atlantic City Hotel,9/2/2023,"Bagus, staf ramah, ada tempat bermain anak, bersih, ada minuman sambutan coffee atau tea, ada cafe and lounge rooftop keren sih +live music. Hanya saja untuk bak mandi nya ga bisa dgunakan karena lubang pembuangan airnya ga bisa ditutup atau ga berfungsi. Jadi air ga bisa ditampung. Dan kurang persiapan. Kita sudah pesan online ada tambahan ranjang. Saat datang baru disiapkan ranjang tambahannya. Tempatnya strategis. Dekat mal, dekat KFC dan McD jadi walau tidak dapat layanan sarapan gratis. Bisa cari makan dekat situ apalagi KFC 24jam buka disebelahnya.",Positif,Positif,Positif,None,Positif,Netral,None,
88,Traveloka,Bandung,Atlantic City Hotel,7/1/2023,"Pertama kali nginep di Hotel Atlantic City, kamarnya lumayan ga kecil-kecil banget. Di samping-samping hotel ada mal, KFC & McD kalo mau cari makan gampang. Cuma pas check in dapet kamar yang kamar merokok, sprei kotor kaya bekas dipakai orang, westafel mampet. Untungnya telepon ke operator langsung diganti sepreinya & westafelnya dibersihkan. So far lumayan lah nginep di sana.",Negatif,Negatif,Positif,None,Positif,None,None,
89,Traveloka,Bandung,Atlantic City Hotel,5/27/2023,"Kamar bersih, kamar mandi bersih, pelayanannya ramah, desain nya minimalis, pemandangannya kota Bandung bikin betah, ke mal tinggal nyebrang. Sedikit masukan, di kamar 602 untuk kursi hitam yang depan cermin itu udah sobek bawahnya harusnya diganti, sprei yang ada nodanya alangkah baiknya jangan dipakai lagi takutnya berasumsi sprei bekas orang.",Negatif,Positif,Positif,None,Positif,None,None,
90,Traveloka,Bandung,Atlantic City Hotel,4/29/2023,sangat direkomendasikan buat keluarga yang dari luar kota Bandung.,None,None,None,None,None,None,None,
91,Traveloka,Bandung,Atlantic City Hotel,4/22/2023,Harga dan pelayanan sebanding. bagus pokoknya. Pelayanannya ramah-ramah.,None,None,Positif,Positif,None,None,None,
92,Traveloka,Bandung,Atlantic City Hotel,2/25/2023,"Enak banget pengalaman pertama kali menginap di hotel ini, dikasih pemandangan terbaik, kamar lantai atas dan kemudahan check-in lebih awal maupun check-out lebih lambat.",Positif,None,Positif,None,None,None,None,
93,Traveloka,Bandung,Atlantic City Hotel,1/14/2023,"Tidak ada kurangnya untuk saya, luar biasa! Kalo ke Bandung mesti banget pesan jauh hari, cepat full dan itu sangat wajar.💙",None,None,None,None,None,None,None,
94,Traveloka,Bandung,Atlantic City Hotel,12/10/2022,"Sudah 2x nginap di sini tidak pernah mengecewakan, kamar besih dan wangi, mantap.",None,Positif,None,None,None,None,None,
95,Traveloka,Bandung,Atlantic City Hotel,12/10/2022,"AC nya tidak dalam kondisi baik membuat batuk dan tidak dingin, kamar mandinya tidak bisa kering, tirai kamar mandinya kotor, makanannya biasa aja",Negatif,Negatif,None,None,None,None,Netral,
96,Traveloka,Bandung,Atlantic City Hotel,10/29/2022,"Kali kedua nginep di sini dengan harapan ada perbaikan kebersihan di kamar mandi, ternyata sama saja. Padahal lokasinya strategis, staf ramah, luas kamar cukup, menu sarapan ok lah ada egg station. Coba beli cairan topron atau apa gitu buat bersihin dinding lantai kamar mandi yang jorok dan pancuran yang karatan, airnya kocar kacir mau mandi jadi gak maximal. Untung air panasnya jalan",Netral,Negatif,Positif,None,Positif,None,Netral,
97,Traveloka,Bandung,Atlantic City Hotel,10/29/2022,"Hotelnya sih bersih, kamar bersih agak luas juga dapet pemandangan bagus lantai atas sarapan standar, harga murah ya lumayanlah hanya hanya kamar mandi agak bau, saran sih pakein pengharum kamar mandi, lainnya oke.",Netral,Negatif,None,Positif,None,None,Netral,
98,Traveloka,Bandung,Atlantic City Hotel,10/8/2022,"Hotelnya bagus, pelayanan oke, petugas ramah-ramah semua. Letak hotel sangat strategis di tengah-tengah kota, sarapannya enak banget🤗",None,None,Positif,None,Positif,None,Positif,
99,Traveloka,Bandung,Atlantic City Hotel,10/1/2022,"Pada hari terakhir, air berhenti mengalir. Saya hanya punya cukup ruang untuk menyikat gigi. Ketika air keluar, warnanya kuning kotor.",None,Negatif,None,None,None,None,None,
