page,tanggal,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
3,6-Apr-25,Sangat menyenangkan liburan disini..semua crew sangat sopan dan baik semua.. Pas anak ultah crewnya pada mau bikin surprise dikamar..sayang anaknya masih molor jd gagal deh 😆 terima kasih santika depok..all perfectLihat lebih sedikit,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/06/b44f84d6-8ffd-484e-b5f6-495813d35f72-1743903570715-26346a3f9996b017aef997a113c6218a.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/06/b1d13b83-d473-4bfa-86fb-01894ddf2918-1743903581970-48e2f7e6cd6bde48b505b2978f16ae87.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/06/98077b92-6a64-47d3-b0c0-be06f79e2158-1743903580170-67503853257693db473f264875610222.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/04/06/86c1a7ff-ae9d-4183-8b05-859af2f6cc6c-1743903580669-6e911ef676ccfdc6284b3ee46f658825.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/06/0c9d3ded-afd3-45f5-8f95-610a1448cd67-1743903579841-ec3ca8bfa158b76727e677c87265d6e3.jpg,,,,,
3,2-Apr-25,"Mantab convinience harga terjangkau, bersih, pelayanan superb. Yang perlu dicatat : kolam renang bersebrangan sm penampungan sampah warga jd kl ada angin auto bau bangkai, kebersihan tempat bfast perlu ditingkatkan krna aku liat kecoa kecil di dinding dekat makanan. Selain itu recommended buat city traveler di depok, still the best one for reasonable price.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/02/8a4c1ca3-511b-4a18-9433-5e4402fa5f61-1743583878094-c1e4364edb6e29db59222cda10812280.jpeg,,,,,,,,,
3,1 Maret 2025,Harga sesuai dengan kondisi kamar.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/03/01/1c2cb8a4-d8f0-4bfb-a6ca-f4159a3c55b2-1740780716784-c3f98e1a7d10e04adf458079e59a5896.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/03/01/1dc472cd-ba83-4d30-a3bc-74431136a1c1-1740780714207-94612321b2ab3dc3942ce155bd03bc0e.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/03/01/e5392fc0-5ca5-470a-9172-8621a55e9b66-1740780716165-f493759284b43fc575ec402fd2e545d9.jpeg,,,,,,,
3,10 Februari 2025,"Tempat parkir luas. Kebersihan dan kenyamanan nomor satu. Hemat uang, fasilitas premium. Ada kolam renang. Pelayan yang ahli di bidangnya dan pintar.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/02/10/721ce88c-f3e4-41fe-b7cd-76777c997a6f-1739153019014-ae74bcd4a2aea634d0f6ffea444c9841.jpg,,,,,,,,,
3,8 Desember 2024,"Pelayanan bagus. Kamar nyaman. Sangat bersih. Untuk sarapan ada banyak pilihan. Tapi satu saran dari kami, mohon sediakan pengharum ruangan di kamar mandi. Baunya kurang enak.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/12/08/e448b163-554b-4186-bc67-04bf58d602a3-1733607554305-ae730cdbf5a15f79016f22e500eb0c92.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/12/08/bed0b9d4-dce1-423f-ba76-63041ef29579-1733607555570-c6f3fa3a5be3c7624d9d879ece096dd3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/12/08/6b0f9ec6-34a7-44d2-b9c5-717957d15743-1733607555710-073eadebc727f35081387bd0ca30c920.jpg,,,,,,,
4,10-Nov-24,"Hotenya bagus dan bersih, makanannya enak, ada kulkasnya juga dan dapet free kue karena ngerayain ulangtahun. Terima kasih santika. Kolam mengundang untuk berenang.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/11/10/83c3f069-5fa8-4cca-b47d-f45221dc762e-1731225840035-7be2105236e9045746abca12e72f48fc.jpeg,,,,,,,,,
4,5-Nov-24,Layanan kebersihan harian oke banget. Terletak di kawasan trendi. Kolam renang dengan pemandangan indah.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/11/05/25cb8a49-f9b4-49ce-aaad-05892e4927d5-1730778636140-df6f4680fe209275288071fa81cde4c8.jpg,,,,,,,,,
4,24 Oktober 2024,Kolam renang anak-anak seru. Tempat parkir luas dan nyaman. Ada pusat kebugaran. Pelayan yang sigap dan luar biasa.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/10/24/7c3966e3-8f90-4a14-8d2a-f6d9379d2a71-1729785350963-cb2b4c796c3d9bda6ac0951419072a9b.jpg,,,,,,,,,
4,13 Oktober 2024,Kuliner luar biasa. Desain interior bagus banget. Terletak di kawasan wisata. Parkir dengan pemandangan bagus.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/10/13/3e510d7e-f9da-4d1d-b05a-f1f699411ba1-1728784773128-b614979d62c184f0da5f635a6a8886ae.jpg,,,,,,,,,
4,8 Oktober 2024,Kamar bersih dan nyaman. Resepsionis yang cekatan dan santun.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/10/08/1f7766f0-7d15-4945-8df0-0ea85b062159-1728364944931-7dc6d84e51c2a7062f7b9a3d54506877.jpeg,,,,,,,,,
5,2 Oktober 2024,"Untuk luas kamar yg tipe standar nya memang minimalis. Kolam renang nya jg hanya 1 kolam, tidak ada kolam anak. Untuk breakfast enak enak, lumayan banyak menu nya. Front desk nya helpfull bgt, ramah semua. Ruangan bebas debu dan noda. Ruangan bebas debu dan noda. Yang saya suka dari Santika Depok, di lobby nya connecting dengan D'mall, jd seneng aja bisa dekat kalau mau ke Mall gak perlu repot.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/10/02/f9226a4f-d1c4-425e-a15d-69b9bec8c797-1727871838989-44028d4aad80fffa011e9f87c291fa72.jpg,,,,,,,,,
5,29-Sep-24,Parkir bebas hambatan. Harga bersaing. Check-out yang sangat mudah. Rasa luar biasa. Tersedia area bermain anak-anak.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/09/29/17500a8d-e0b5-42c1-a39c-ffde28079d00-1727573734346-ea21e09fd84066482a9a5ce13a4cd09f.jpg,,,,,,,,,
5,15-Sep-24,Kamar terjaga bersih. Ada fasilitas olahraga keluarga. Pemandangan tepi kolam yang istimewa. Staf yang tepat waktu dan penuh perhatian.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/09/15/0e4595b8-d3da-42a0-8d10-66bea203bb7e-1726391941659-191136cc98f951a0e952c2a44a8a799f.jpg,,,,,,,,,
5,25 Agustus 2024,Secara keseluruhan sangat bersih.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/08/25/58bd6e08-781d-4c8c-88ae-eba91cb69c13-1724535108068-5a63d9787203c14bd38bff939d7dde75.jpg,,,,,,,,,
5,18 Juli 2024,"Pelayanan resepsionis ramah. Upgrade kamar pas check in diberikan kemudahan, padahal pas lewat telefon katanya penuh. Kamar bersih, nyaman, wangi. Amenities lengkap. Kolam renang bersih dan nyaman. Anak-anak senang sekali renang disini. Restoran masakan sangat lengkap, mulai western, asia, sampai tradisional. Rasanya juga enak. Semua keluarga saya suka. Karena kami berempat, biaya tambah kuota breakfast utk anak2 juga terjangkau. Lobby hotel terkoneksi langsung dg mall. Nyari makan malam mudah sekali, atau sekedar jalan2 dan liat bioskop di mall. Overall puas sekali, sangat recommended utk Anda semua.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/07/18/5d81af05-1f43-4ee2-8cb6-f9b34aa3cb33-1721307052759-3630aa00a43dacea42f58509b61c287f.jpg,,,,,,,,,
6,12 Juli 2024,Hidangan eksotis menarik. Resepsionis yang cekatan dan santun.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/07/12/dcdaa142-6a23-45c6-bdbd-5c04ba3ca603-1720769308845-be776c86b2f019e0262cacfbb5605bb8.jpg,,,,,,,,,
6,3 Juli 2024,Puas banget nginep di santika depok. Securitynya ramah bantu parkir mobilnya. Bantu bawain barang juga sampe ke kamer. Proses cekin cepat. Breakfast banyak variasinya. Next bakal nginep lagi di santika depok.Lihat lebih sedikit,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/07/03/b6430b38-995a-484b-83c4-b3f1b096c0ae-1719958845983-09063d9d732e3bc69f629f454107e0b2.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/07/03/98410d6a-324b-41a3-b556-a51d33658a62-1719958859252-ba055938cf49a54d5f29eab139431718.jpg,,,,,,,,
6,19 Juni 2024,"Kuliner hotel yang memanjakan. Kamar mandi bersih bersinar. Harga terjangkau, kualitas tinggi.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/06/19/6cb643d1-3015-4889-800b-b67ab9bbea60-1718811115252-66d59bd3f095ad9bcf132682a19a8f44.jpeg,,,,,,,,,
6,31 Desember 2023,"Keren, tidak mengecewakan 🥰",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/31/21468dc8-e05d-4ed8-a492-6b205b27af6a-1703956048395-861e4e97b0c41f37d20c91c45876ee1f.jpg,,,,,,,,,
6,17 Desember 2023,,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/17/f02a00da-725d-479b-8c65-c56da0478731-1702777496403-c37158e5f359ad08f32832cca6956212.jpg,,,,,,,,,
7,22-Nov-23,,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/11/22/21ca8a96-69f0-4488-9abc-c43bb69b96d2-1700651865436-640abc6c1893b2b31606ea15e90199d9.jpg,,,,,,,,,
7,25-Sep-23,"Kamar nyaman, cuman agak kurang kedap. Sarapan best laj, hanya parkir terbatas.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/09/25/06aaf6b4-1584-4003-a244-cd4031d0199d-1695642691888-b606c6bd38c9612400f74fc3c295a5e3.jpg,,,,,,,,,
7,21 Agustus 2023,"Bagusss, selalu baguss setiap kesini.. dekat mall, akses nya gampang, tinggi dan pemandangan selalu bagus",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/08/21/e18c2036-143c-40b5-a613-ab603d4748ea-1692631690964-ac1f21a42a8f8b200057c53be85b35d2.jpg,,,,,,,,,
7,9 Juli 2023,"Pelayanan oke, sarapan enak, dan ternyata pemandangan pagi2 nya bagus juga",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/07/09/0073f1cf-7472-4ed2-9fa7-022aea542444-1688893185143-4055dcb5ed0d203e1e094c5e365adc88.jpg,,,,,,,,,
7,21 Juni 2023,,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/06/21/86e9abb9-27c8-488b-ada3-5e21d595b075-1687351058518-118f212819712cf0f908cd8e71ac5034.jpeg,,,,,,,,,
8,21 Juni 2023,"Lumayan buat tempat singgah, nempel sama mall jadi bisa sekalian refreshing. Tempatnya bersih, sudah dapat breakfast juga.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/06/21/91cf54e0-4158-4500-ba00-28ff9835d75a-1687316410914-6498ca805d632a2e26b764c37c42aa94.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/06/21/38c8548b-f0d5-4c51-8540-08287fc96ca6-1687316416614-ea90b144260ff9fcad54a2c3459b4124.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/06/21/28afbd3c-2cca-4a04-b9cc-634cdc8bd63a-1687316417761-7624cd4f9ad4c3f0445384a03366ceec.jpeg,,,,,,,
8,10 Mei 2023,"Check in/out very smooth (no deposit, registrasi e-money utk free parking, staf ramah n full service); kamar nyaman banget; menu sarapan sangat variatf dan enak² rasanya, terutama pisang gorengnya; fasilitas lengkap. Overall oke. Sempat enggan ke sini karena masalah parkir yg nyatu dg mall,tapi jadi semangat setelah masuk ke hotel dan menikmati fasilitasnya.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/05/10/38c19f5b-5eca-45e4-b91a-89e7cd9b9cb0-1683693241109-5f4b449bd5cfe17b3662536713fa2ac6.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/05/10/754c9ade-da4e-4ab9-9a99-173618dd48ad-1683693241011-ab719a91568386c91a09ee345c820985.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/05/10/ce05acaa-7da0-49f3-a081-dc4e3ca5f66f-1683693240559-273f65b9dd1d459719bc2447d2effd12.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/05/10/7e03603d-24f4-45bb-98de-1231abca274b-1683693241190-11629776be656be603175fc294891d14.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/05/10/bf99f13d-df9c-490f-b3ec-9dcf3e819f1f-1683693240856-81cb8c1c48768233c9c5feb9e2472a19.jpg,,,,,
8,7 Mei 2023,cukup luass & dingin,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/05/07/4565e8e1-ba3e-495f-8781-a8db77294978-1683429032978-c193ca3509646d327468ea897956bdca.jpeg,,,,,,,,,
